City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Trairi,BR,-3.2778,-39.2689,86.07,60,73,10.85,broken clouds
275,Comodoro Rivadavia,AR,-45.8667,-67.5,75.06,33,0,9.22,clear sky
276,Nhulunbuy,AU,-12.2333,136.7667,75.81,94,100,4.61,heavy intensity rain
277,Kulhudhuffushi,MV,6.6221,73.07,81.14,65,94,10.4,overcast clouds
278,Baiquan,CN,47.5833,126.0833,-10.05,100,89,3.96,overcast clouds
279,Kiruna,SE,67.8557,20.2251,20.32,93,100,3.44,overcast clouds
280,Bilma,NE,18.6853,12.9164,77.99,9,0,11.5,clear sky
281,Sept-Iles,CA,50.2001,-66.3821,-5.28,45,20,2.3,few clouds
282,Olafsvik,IS,64.8945,-23.7142,29.03,68,63,14.65,broken clouds
283,Natal,BR,-5.795,-35.2094,88.45,58,40,11.5,scattered clouds
284,San Juan Ixcoy,GT,15.5997,-91.4453,52.65,89,92,4.21,overcast clouds
285,Aquiraz,BR,-3.9014,-38.3911,86.09,64,74,9.48,broken clouds
286,Manicore,BR,-5.8092,-61.3003,85.78,62,74,2.57,broken clouds
287,Portland,US,45.5234,-122.6762,42.24,93,100,1.99,fog
288,Katobu,ID,-4.9408,122.5276,76.87,92,42,3.47,scattered clouds
289,Coihaique,CL,-45.5752,-72.0662,63.21,63,0,5.75,clear sky
290,Walvis Bay,NA,-22.9575,14.5053,74.08,69,18,11.01,few clouds
291,Biltine,TD,14.5333,20.9167,84.54,7,100,13.27,overcast clouds
292,Murud,IN,18.3258,72.965,72.66,66,71,6.87,broken clouds
293,Provideniya,RU,64.3833,-173.3,-2.94,75,0,10.27,clear sky
294,Lagos,NG,6.5833,3.75,95.32,42,0,10.38,clear sky
295,Nenjiang,CN,49.1833,125.2167,-8.32,98,100,3.44,overcast clouds
296,Pokhara,NP,28.2333,83.9833,49.96,86,51,1.41,broken clouds
297,Talcahuano,CL,-36.7167,-73.1167,71.28,56,0,9.22,clear sky
298,Zhangye,CN,38.9342,100.4517,16.43,89,94,2.64,overcast clouds
299,Sitka,US,57.0531,-135.33,44.49,76,100,24.16,moderate rain
300,Paka,MY,4.6374,103.4368,78.73,89,100,4.61,overcast clouds
301,Parsabad,IR,39.6482,47.9174,50.32,34,0,6.91,clear sky
302,Opuwo,NA,-18.0607,13.84,85.48,22,99,3.87,overcast clouds
303,Prabumulih,ID,-3.45,104.25,74.88,93,100,4.92,overcast clouds
304,Saint George,US,37.1041,-113.5841,41.34,41,0,3.44,clear sky
305,Jacareacanga,BR,-6.2222,-57.7528,86.04,65,86,1.57,overcast clouds
306,Mikun,RU,62.3547,50.0771,16.61,93,100,8.34,overcast clouds
307,Kambarka,RU,56.2694,54.2062,18.91,98,100,2.42,overcast clouds
308,Adrar,MR,20.5022,-10.0711,83.39,6,0,10.2,clear sky
309,Krasnoselkup,RU,65.7,82.4667,-18.54,100,57,6.82,broken clouds
310,Biaora,IN,23.8667,76.9167,68.4,24,0,2.13,clear sky
311,Hovd,MN,48.0056,91.6419,-12.55,84,9,3.49,clear sky
312,Les Cayes,HT,18.2,-73.75,78.55,57,0,2.13,clear sky
313,Fortuna,US,40.5982,-124.1573,40.12,93,0,6.91,clear sky
314,Ponsacco,IT,43.6238,10.6291,60.55,73,7,5.99,clear sky
315,Xunchang,CN,28.4543,104.715,41.29,95,100,0.98,moderate rain
316,Bogorodskoye,RU,56.55,37.8833,19.09,96,99,4.97,overcast clouds
317,Ziarat,PK,30.3823,67.7282,38.73,60,35,7.61,scattered clouds
318,Ngunguru,NZ,-35.6167,174.5,74.16,100,100,8.77,overcast clouds
319,Puerto Escondido,MX,15.85,-97.0667,70.63,100,0,9.22,clear sky
320,Tabou,CI,4.423,-7.3528,83.73,67,74,7.58,light rain
321,Limenaria,GR,40.6261,24.5786,57.06,62,0,0.85,clear sky
322,Hobyo,SO,5.3505,48.5268,79.2,61,1,15.55,clear sky
323,Teya,RU,60.3778,92.6267,8.13,98,100,1.74,overcast clouds
324,Riyadh,SA,24.6877,46.7219,66.34,26,0,12.33,clear sky
325,Dukat,RU,62.55,155.55,-14.98,61,0,1.66,clear sky
326,Zeljezno Polje,BA,44.4083,17.9319,55.62,80,23,4.65,few clouds
327,Kozhva,RU,65.1073,57.0459,4.12,92,45,5.64,scattered clouds
328,Oksfjord,NO,70.2396,22.3479,32.18,83,5,13.67,clear sky
329,Asfi,MA,32.2994,-9.2372,67.14,58,17,17.0,few clouds
330,Kisangani,CD,0.5167,25.2,97.23,23,75,3.83,broken clouds
331,Alta Floresta,BR,-9.8756,-56.0861,82.22,83,40,3.44,scattered clouds
332,Vanimo,PG,-2.6741,141.3028,79.02,85,74,5.79,broken clouds
333,Bayburt,TR,40.2589,40.2278,18.77,95,100,1.12,overcast clouds
334,Sjenica,RS,43.2731,19.9994,33.62,100,99,5.35,overcast clouds
335,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,85.46,58,94,10.87,overcast clouds
336,Miles City,US,46.4083,-105.8406,31.17,80,100,11.5,overcast clouds
337,Aasiaat,GL,68.7098,-52.8699,-6.77,99,100,3.06,overcast clouds
338,Richards Bay,ZA,-28.783,32.0377,77.22,80,28,10.94,light rain
339,Totma,RU,59.9747,42.7642,6.35,99,94,3.06,overcast clouds
340,Myitkyina,MM,25.3833,97.4,55.71,82,1,3.04,clear sky
341,Solnechnyy,RU,50.7214,136.6319,-1.89,98,99,2.06,overcast clouds
342,Ambon,ID,-3.6954,128.1814,77.14,94,40,4.61,light rain
343,Dudinka,RU,69.4058,86.1778,-32.26,100,17,3.69,few clouds
