City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
566,Maceio,BR,89.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
569,Linares,CL,84.79,clear sky,-35.85,-71.6,Hotel Real
572,Porto Seguro,BR,82.92,broken clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
573,Fare,PF,81.01,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
581,Coxim,BR,83.82,overcast clouds,-18.5067,-54.76,Hotel Avenida
582,Finschhafen,PG,80.53,scattered clouds,-6.6024,147.8681,Cossam Guest House
583,Oudtshoorn,ZA,84.56,scattered clouds,-33.5907,22.2014,Earthbound Guest House
584,Sechura,PE,77.14,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
586,Coahuayana,MX,76.48,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
593,Sabang,ID,81.1,moderate rain,5.8933,95.3214,Hotel Citra
594,Noumea,NC,76.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
603,Grand Gaube,MU,82.8,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
604,Saint-Joseph,RE,80.98,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
607,Takoradi,GH,84.45,broken clouds,4.8845,-1.7554,Raybow International Hotel
609,Garowe,SO,84.94,overcast clouds,8.4054,48.4845,Curubo Hotel
610,Prado,BR,83.97,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
611,Tucuma,BR,75.18,overcast clouds,-0.1833,-50.05,
616,Kralendijk,BQ,82.38,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
620,Isangel,VU,79.2,overcast clouds,-19.55,169.2667,Tanna Lodge
622,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
629,Ugoofaaru,MV,81.64,overcast clouds,5.6667,73.0,Ungoofaaru Inn
631,Manokwari,ID,77.99,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
638,Cacu,BR,85.87,overcast clouds,-18.5567,-51.1308,Império Hotel
642,Agadir,MA,84.65,scattered clouds,30.4202,-9.5982,Iberostar Founty Beach
643,Victor Harbor,AU,80.69,scattered clouds,-35.5667,138.6167,McCracken Country Club
646,Maracaju,BR,79.57,overcast clouds,-21.6144,-55.1683,Maracaju Plaza Hotel - Hospedagem - Maracaju/MS
655,Lucea,JM,76.86,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
656,Vila Velha,BR,87.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
660,Ambulu,ID,77.05,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
661,Touros,BR,88.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
662,Presidente Epitacio,BR,80.49,light rain,-21.7633,-52.1156,Hotel Itaverá
665,Gandajika,CD,75.02,moderate rain,-6.75,23.95,
666,Emerald,AU,75.34,scattered clouds,-23.5333,148.1667,The Irish Village
667,Gouyave,GD,79.57,scattered clouds,12.1646,-61.7296,Rumboat Retreat
668,Port-Gentil,GA,87.76,few clouds,-0.7193,8.7815,Fengshui Residence
672,Itarema,BR,87.08,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
673,Calabozo,VE,86.81,broken clouds,8.9242,-67.4293,Hotel Giardini
682,San Fernando,PH,80.15,scattered clouds,15.0286,120.6898,Maharlika Hostel
683,Acarau,BR,86.41,scattered clouds,-2.8856,-40.12,castelo pizzaria
685,Santarem,BR,77.13,heavy intensity rain,-2.4431,-54.7083,Ecotur Lodge
